year,candidate_left,candidate_right,education_gap,income_gap,avg_high_edu,avg_low_edu,avg_high_income,avg_low_income
1999,Lagos,Lavín,-17.897727272727273,-19.916666666666664,39.375,57.27272727272727,38.75,58.666666666666664
2005,Bachelet,Piñera,-21.284090909090907,-23.569444444444443,40.625,61.90909090909091,39.875,63.44444444444444
2009,Frei,Piñera,-18.647727272727273,-20.541666666666664,34.625,53.27272727272727,34.125,54.666666666666664
2013,Bachelet,Matthei,-21.284090909090907,-23.930555555555557,47.625,68.9090909090909,46.625,70.55555555555556
2017,Guillier,Piñera,-15.602272727272727,-17.65277777777778,34.125,49.72727272727273,33.125,50.77777777777778
2021,Boric,Kast,-1.9204545454545467,-4.541666666666664,48.625,50.54545454545455,46.125,50.666666666666664
2025,Jara,Kast,2.8409090909090935,0.47222222222222143,37.75,34.90909090909091,35.25,34.77777777777778
